City,Score
mysure,1749
Chandigarh,1716
Tiruchirappali,1715
Delhi-NDMC,1704
Visakhapatnam,1643
Surat,1605
Rajkot,1574
Gangtok,1565
Pimpri Chinchwad,1559
Greater Mumbai,1534
